house_id,total_grid_import_kWh
8,29629.813686554335
9,13090.330313353214
17,89.17350662011519
16,3059.943482775073
14,32172.46354231238
15,8198.385839298824
11,46253.382931766304
10,3055.067470581243
12,6560.221565432372
13,0.0
22,19.31269276845719
23,0.0
21,1374.394346870907
20,53524.04468340372
24,59768.67021915862
18,10552.971611265062
19,3767.9969342649933
25,13517.592039385632
7,44684.564419856135
6,787.3642297103927
4,38904.39043741756
5,49903.85908795771
1,38116.85574236112
2,7144.877725541313
3,2712.3966681685342
