house_id,paid,earned,paid_minus_earned
1,2.214789213707925,0.0026595124410330765,2.2121297012668917
2,0.4191755375935836,0.0,0.4191755375935836
3,0.1591547408021821,0.0,0.1591547408021821
4,2.2793436227250523,0.0,2.2793436227250523
5,2.926886316770377,0.0,2.926886316770377
6,0.04610300742962094,0.0,0.04610300742962094
7,2.613899195099535,0.0,2.613899195099535
8,1.7288589433922528,0.0,1.7288589433922528
9,0.7496495452298764,0.0,0.7496495452298764
10,0.17767776684020997,0.0,0.17767776684020997
11,2.685116194476064,0.0005793150237243449,2.6845368794523394
12,0.37757990047751294,0.06803271629964451,0.3095471841778684
13,0.0,0.39095224694854375,-0.39095224694854375
14,1.8715877431935593,0.0,1.8715877431935593
15,0.4767555803965687,0.02852201996569702,0.44823356043087165
16,0.17726710103880722,0.00971270868912995,0.16755439234967726
17,0.005446324220575536,0.0006798268026642209,0.004766497417911315
18,0.6157427495489977,0.08555292736091484,0.5301898221880829
19,0.21649192177522186,0.34435692995038586,-0.127865008175164
20,3.1173484816950396,0.0,3.1173484816950396
21,0.07994022666084148,0.0,0.07994022666084148
22,0.001229026134875252,0.43502117322391387,-0.4337921470890386
23,0.0,0.6298658556516449,-0.6298658556516449
24,3.4894536660529027,0.0,3.4894536660529027
25,0.7898450815737024,0.0,0.7898450815737024
